Id,Label,Title,DepartmentType,BusinessUnit,GenderCode,Performance Score
374,Ashtyn Huynh,Production Technician I,Production       ,CCDR,Female,Fully Meets
375,Tristen Reed,Production Technician I,Production       ,EW,Female,Fully Meets
376,Demetrius Sanders,Production Technician I,Production       ,PL,Female,Fully Meets
377,Tiana Perry,Production Technician I,Production       ,PYZ,Female,Fully Meets
378,Rene Pena,Production Technician I,Production       ,SVG,Female,Fully Meets
379,Angelo Fox,Production Technician I,Production       ,TNS,Female,Fully Meets
380,Rayne Simpson,Production Technician II,Production       ,MSC,Male,Fully Meets
381,Aaron Tapia,Production Technician II,Production       ,TNS,Male,Fully Meets
382,Aimee Santana,Production Technician II,Production       ,PYZ,Male,Fully Meets
383,Johan Sosa,Production Technician I,Production       ,CCDR,Female,Fully Meets
384,Brice Christian,Production Technician I,Production       ,NEL,Male,Needs Improvement
385,Sage Potter,Production Technician I,Production       ,PL,Female,Fully Meets
386,Zaniyah Roman,Production Technician I,Production       ,CCDR,Female,Fully Meets
387,Braden Ballard,Production Technician II,Production       ,WBL,Male,Fully Meets
388,Aron Graham,Production Technician II,Production       ,PYZ,Male,Fully Meets
389,Shamar Cross,Production Technician I,Production       ,PL,Female,Fully Meets
390,Cesar House,Production Technician I,Production       ,SVG,Male,Exceeds
391,Guillermo Lynn,Production Technician I,Production       ,EW,Male,Fully Meets
392,Patricia Pruitt,Production Technician I,Production       ,PYZ,Female,Fully Meets
393,Alice Craig,Production Technician I,Production       ,WBL,Male,Fully Meets
394,Nick Merritt,Production Technician I,Production       ,PL,Female,Exceeds
395,Rohan Mcdowell,Production Technician I,Production       ,MSC,Male,Needs Improvement
396,Presley Salazar,Production Technician II,Production       ,SVG,Male,Fully Meets
397,Lilianna Lynn,Production Technician II,Production       ,TNS,Male,Needs Improvement
398,Eugene Reyes,Production Technician I,Production       ,CCDR,Female,Fully Meets
399,Alessandro Fuller,Production Technician I,Production       ,TNS,Male,Fully Meets
400,Charlee Wiggins,Production Technician I,Production       ,WBL,Male,Exceeds
401,Natalia Hamilton,Production Technician I,Production       ,NEL,Male,Exceeds
402,Kierra Boone,Production Technician I,Production       ,PL,Female,Exceeds
403,Charlie Ramirez,Production Technician I,Production       ,BPC,Female,Exceeds
404,Demarcus Ware,Production Technician II,Production       ,BPC,Male,Exceeds
405,Devon Daniels,Production Technician II,Production       ,CCDR,Female,Exceeds
406,Ansley Duke,Production Technician II,Production       ,TNS,Male,Exceeds
407,Izaiah Quinn,Production Technician I,Production       ,NEL,Female,Exceeds
408,Hillary Clements,Production Technician I,Production       ,PL,Female,Exceeds
409,Ramon Watson,Production Technician I,Production       ,SVG,Male,PIP
410,Raegan Spence,Production Technician I,Production       ,EW,Female,Needs Improvement
411,Beau Barron,Production Technician I,Production       ,PYZ,Female,Exceeds
412,Terrell Crosby,Production Technician I,Production       ,BPC,Female,Needs Improvement
413,Micheal Drake,Production Technician I,Production       ,SVG,Female,Needs Improvement
414,Evie Mclaughlin,Production Technician I,Production       ,EW,Male,Needs Improvement
415,Maggie Rachael,BI Developer,IT/IS,BPC,Female,Exceeds
416,Lucia Peterson,BI Developer,IT/IS,PL,Female,Fully Meets
417,Chance Braun,BI Developer,IT/IS,CCDR,Female,Fully Meets
418,Alma Pennington,BI Developer,IT/IS,SVG,Female,Fully Meets
419,Nikhil Pineda,Sales Manager,Sales,MSC,Male,Fully Meets
420,Kadence Simon,BI Director,IT/IS,EW,Male,Fully Meets
421,Elliot Phillips,BI Developer,IT/IS,MSC,Female,Fully Meets
422,Kamden Paul,Area Sales Manager,IT/IS,SVG,Male,Fully Meets
423,Cora Perez,Sales Manager,Admin Offices,SVG,Male,Fully Meets
424,Nevaeh Ponce,BI Developer,IT/IS,BPC,Female,Fully Meets
425,Drake Nicholson,CIO,IT/IS,WBL,Male,Fully Meets
426,Kenna Porter,BI Director,IT/IS,NEL,Male,Fully Meets
427,Peter Wong,BI Developer,IT/IS,PL,Female,Fully Meets
428,Fatima Pennington,BI Developer,IT/IS,BPC,Female,Fully Meets
429,Lainey Ayers,Area Sales Manager,IT/IS,EW,Male,Fully Meets
430,George Sheppard,Senior BI Developer,Admin Offices,BPC,Male,Fully Meets
431,Ernest Munoz,Sales Manager,IT/IS,EW,Female,Fully Meets
432,Rose Jordan,Sales Manager,Sales,MSC,Female,Fully Meets
433,Titus Lowe,BI Director,IT/IS,EW,Female,Fully Meets
434,Savanah Prince,BI Developer,IT/IS,MSC,Female,Fully Meets
435,Moises Day,Area Sales Manager,IT/IS,TNS,Male,Fully Meets
436,Lillie Wilkerson,BI Director,IT/IS,NEL,Female,Fully Meets
437,Alexis Harrell,BI Developer,IT/IS,SVG,Male,Fully Meets
438,Mylee Snow,Area Sales Manager,IT/IS,EW,Male,Fully Meets
439,Elsa Mckenzie,Area Sales Manager,IT/IS,MSC,Male,Fully Meets
440,Claire Gordon,BI Director,IT/IS,SVG,Female,Fully Meets
441,Corey Hurst,Senior BI Developer,IT/IS,CCDR,Male,Fully Meets
442,Randall Miller,BI Director,IT/IS,EW,Female,Fully Meets
443,Lailah Hughes,BI Developer,IT/IS,NEL,Female,Fully Meets
444,Quentin Calderon,BI Developer,IT/IS,PL,Male,Fully Meets
445,Mauricio Meyers,Sales Manager,IT/IS,SVG,Female,Fully Meets
446,Elliott Odonnell,Senior BI Developer,IT/IS,NEL,Male,Fully Meets
447,Ronnie Dillon,Senior BI Developer,IT/IS,PL,Female,Fully Meets
448,Gideon Saunders,Sales Manager,Sales,PYZ,Female,Fully Meets
449,Alden Powers,BI Developer,IT/IS,NEL,Male,Fully Meets
450,Haylie Arnold,BI Developer,IT/IS,MSC,Male,Fully Meets
451,Raul Garcia,Production Technician I,Production       ,NEL,Male,Fully Meets
452,Rachael Baczenski,Production Technician I,Production       ,NEL,Female,Fully Meets
453,Colleen Zima,Production Technician I,Production       ,TNS,Female,Fully Meets
454,Hang T Wolk,Production Technician II,Production       ,CCDR,Female,Fully Meets
455,Mei Trang,Production Technician I,Production       ,PL,Female,Fully Meets
456,Brad Pitt,Production Technician I,Production       ,WBL,Male,Fully Meets
457,Alissa Frey,Production Technician I,Production       ,WBL,Female,Fully Meets
458,Rodolfo Michael,Production Technician I,Production       ,BPC,Male,Fully Meets
459,Amira Mcmillan,Production Technician I,Production       ,SVG,Male,Fully Meets
460,Mckenzie Mack,Production Technician I,Production       ,BPC,Female,Fully Meets
461,Kenneth Peters,Production Technician I,Production       ,WBL,Female,Fully Meets
462,Hayley York,Production Technician I,Production       ,BPC,Male,Fully Meets
463,Julie Cochran,Production Technician I,Production       ,TNS,Male,Fully Meets
464,Cannon Lee,Production Technician I,Production       ,NEL,Female,Fully Meets
465,Miley Gutierrez,Production Technician I,Production       ,NEL,Female,Fully Meets
466,Jakayla Hall,Production Technician I,Production       ,CCDR,Male,Fully Meets
467,Emmett Mercado,Production Technician I,Production       ,MSC,Female,Fully Meets
468,Clara Wheeler,Production Technician I,Production       ,NEL,Female,Fully Meets
469,Kieran Morse,Production Technician II,Production       ,PL,Female,Fully Meets
470,Kyan Morrison,Production Technician I,Production       ,TNS,Female,Fully Meets
471,Stephany Neal,Production Technician I,Production       ,NEL,Female,Fully Meets
472,Nola Gillespie,Production Technician I,Production       ,CCDR,Male,Fully Meets
473,Jeramiah Schwartz,Production Technician I,Production       ,SVG,Female,Fully Meets
474,Miley Ortega,Production Technician I,Production       ,PYZ,Female,Fully Meets
475,Julia Farmer,Production Technician I,Production       ,WBL,Female,Fully Meets
476,Emilie Hood,Production Technician I,Production       ,WBL,Female,Fully Meets
477,Abbigail Blanchard,Production Technician I,Production       ,PL,Male,Fully Meets
478,Jessie Church,Production Technician I,Production       ,EW,Female,Needs Improvement
479,Ainsley Booth,Production Technician I,Production       ,PL,Female,Needs Improvement
480,Dereon Huffman,Production Technician II,Production       ,CCDR,Female,Needs Improvement
481,Colton Decker,Production Technician II,Production       ,NEL,Female,Needs Improvement
482,Cindy York,Production Technician I,Production       ,PYZ,Female,PIP
483,Breanna Cardenas,Production Technician I,Production       ,WBL,Female,PIP
484,Leslie Potts,Production Technician II,Production       ,WBL,Female,PIP
485,Matteo Oneal,Production Technician II,Production       ,PL,Female,Exceeds
486,Lailah Haney,Production Technician I,Production       ,TNS,Female,Exceeds
487,Frankie Banks,Production Technician I,Production       ,WBL,Female,Exceeds
488,Lorelei Glass,Production Technician I,Production       ,NEL,Male,Exceeds
489,Amari Bowen,Production Technician I,Production       ,BPC,Female,Exceeds
490,Briana Wang,Production Technician I,Production       ,TNS,Male,Needs Improvement
491,Shelby Frazier,Production Technician I,Production       ,WBL,Female,Fully Meets
492,Lindsay Becker,Production Technician I,Production       ,NEL,Female,Fully Meets
493,Taylor Mann,Production Technician II,Production       ,EW,Male,Fully Meets
494,Waylon Pennington,Production Technician II,Production       ,NEL,Male,Fully Meets
495,Sidney Moran,Production Technician I,Production       ,CCDR,Female,Fully Meets
496,Jabari Guerrero,Production Technician I,Production       ,PYZ,Male,Fully Meets
497,Esther Spears,Production Technician I,Production       ,TNS,Male,Fully Meets
498,Anthony Terrell,Production Technician I,Production       ,WBL,Female,Fully Meets
499,William Douglas,Production Technician I,Production       ,NEL,Female,Fully Meets
500,Kristopher Owen,Production Technician II,Production       ,BPC,Male,Fully Meets
501,Hadley Tapia,Production Technician II,Production       ,CCDR,Male,Fully Meets
502,Kolton Duarte,Production Technician I,Production       ,TNS,Female,Fully Meets
503,Jonas Braun,Production Technician I,Production       ,PYZ,Female,Fully Meets
504,Meadow Howe,Production Technician I,Production       ,WBL,Female,Fully Meets
505,Bryce Mills,Production Technician I,Production       ,SVG,Male,Fully Meets
506,Adrian Murray,Production Technician I,Production       ,PYZ,Female,Fully Meets
507,Damaris Oneal,Production Technician II,Production       ,PYZ,Male,Fully Meets
508,Rebecca Craig,Production Technician II,Production       ,WBL,Female,Fully Meets
509,Kadyn Harrison,Production Technician II,Production       ,PL,Male,Fully Meets
510,Megan Huang,Production Technician I,Production       ,EW,Female,Fully Meets
511,Emilie Donaldson,Production Technician I,Production       ,TNS,Female,Fully Meets
512,Darius Duke,Production Technician I,Production       ,PYZ,Female,Fully Meets
513,Kenya Decker,Production Technician I,Production       ,WBL,Male,Fully Meets
514,Giana Roach,Production Technician I,Production       ,PL,Female,Fully Meets
515,Teagan Swanson,Production Technician I,Production       ,BPC,Female,Fully Meets
516,Jerome Fischer,Production Technician I,Production       ,CCDR,Male,Fully Meets
517,Turner Bradley,Production Technician I,Production       ,EW,Male,Fully Meets
518,Rose Travis,Production Technician I,Production       ,TNS,Female,Fully Meets
519,Donysha Kampew,Sales Manager,Sales,WBL,Female,Fully Meets
520,Madalynn Yates,Production Technician II,Sales,TNS,Female,Fully Meets
521,Alessandro Chavez,Production Technician II,Sales,TNS,Female,Fully Meets
522,Giovanni Whitaker,Production Technician II,Sales,WBL,Female,Fully Meets
523,Kristin Mccarty,Sales Manager,Sales,TNS,Female,Fully Meets
524,Barbara Sutwell,Production Technician I,Production       ,PL,Female,Fully Meets
525,Courtney Beatrice,Production Technician I,Production       ,PL,Female,Fully Meets
526,Melisa Gerke,Production Technician I,Production       ,TNS,Female,Fully Meets
527,Lin Chan,Production Technician I,Production       ,PYZ,Female,Fully Meets
528,Nina Panjwani,Production Technician I,Production       ,TNS,Female,Fully Meets
529,Judy Jung,Production Technician I,Production       ,CCDR,Female,Fully Meets
530,Betsy Bondwell,Production Technician II,Production       ,MSC,Female,Fully Meets
531,Lisa Lunquist,Production Technician II,Production       ,BPC,Female,Fully Meets
532,Jon Lynn,Production Technician I,Production       ,EW,Female,Fully Meets
533,Paxton Clarke,Production Technician I,Production       ,MSC,Female,Fully Meets
534,Arianna Horton,Production Technician I,Production       ,WBL,Female,Fully Meets
535,Ricardo Bruce,Production Technician I,Production       ,BPC,Female,Fully Meets
536,Sage Mercer,Production Technician I,Production       ,EW,Female,Fully Meets
537,Emmanuel Huang,Production Technician II,Production       ,EW,Female,Fully Meets
538,Brenna Decker,Production Technician II,Production       ,MSC,Female,Fully Meets
539,Averie Wolfe,Production Technician II,Production       ,TNS,Female,Fully Meets
540,Karli Ross,Production Technician II,Production       ,WBL,Female,Fully Meets
541,Gilbert Newman,Production Technician I,Production       ,SVG,Female,Fully Meets
542,Adyson Esparza,Production Technician I,Production       ,PYZ,Female,Fully Meets
543,Darnell Eaton,Production Technician I,Production       ,MSC,Female,Fully Meets
544,Angela Kaufman,Production Technician II,Production       ,NEL,Female,Fully Meets
545,Angelique Mathis,Production Technician II,Production       ,TNS,Female,Fully Meets
546,Yair Snyder,Production Technician II,Production       ,EW,Female,Fully Meets
547,Ishaan Schaefer,Production Technician I,Production       ,SVG,Female,Fully Meets
548,Liam Figueroa,Production Technician I,Production       ,EW,Female,Fully Meets
549,Marilyn Moss,Production Technician I,Production       ,TNS,Female,Fully Meets
550,Yuliana Nelson,Production Technician I,Production       ,PYZ,Female,Fully Meets
551,August Wiley,Production Technician I,Production       ,WBL,Male,Fully Meets
552,Nico Villarreal,Production Technician I,Production       ,PL,Female,Fully Meets
553,Raymond Gillespie,Production Technician I,Production       ,CCDR,Female,Fully Meets
554,Ian Hester,Production Technician I,Production       ,EW,Female,Fully Meets
555,Carson Pennington,Production Technician I,Production       ,TNS,Female,Fully Meets
556,Darrell Horne,Production Technician II,Production       ,SVG,Female,Fully Meets
557,Corinne Navarro,Production Technician II,Production       ,WBL,Female,Fully Meets
558,Meadow Atkins,Production Technician II,Production       ,NEL,Female,Fully Meets
559,Beau Olsen,Production Technician I,Production       ,TNS,Female,Fully Meets
560,Kelly Ellis,Production Technician I,Production       ,PYZ,Female,Fully Meets
561,King Garrison,Production Technician I,Production       ,CCDR,Female,Fully Meets
562,Kailyn Montgomery,Production Technician I,Production       ,EW,Female,Fully Meets
563,Philip Cobb,Production Technician I,Production       ,MSC,Female,Fully Meets
564,Bria Spence,Production Technician II,Production       ,EW,Female,Fully Meets
565,Ellie Holder,Production Technician II,Production       ,MSC,Female,Fully Meets
566,Branson Schneider,Production Technician II,Production       ,SVG,Female,Fully Meets
567,Maren Whitehead,Production Technician II,Production       ,TNS,Female,Fully Meets
568,Armani Barker,Production Technician II,Production       ,PYZ,Female,Fully Meets
569,Tamia Byrd,Production Technician II,Production       ,WBL,Female,Fully Meets
570,Oliver Richardson,Production Technician I,Production       ,NEL,Female,Fully Meets
571,Nathalia Larson,Production Technician I,Production       ,PL,Female,Fully Meets
572,Dustin Snow,Production Technician I,Production       ,MSC,Female,Fully Meets
573,Layton Goodwin,Production Technician I,Production       ,NEL,Female,Fully Meets
574,Arianna Durham,Production Technician I,Production       ,PYZ,Female,Fully Meets
575,Lia Orr,Production Technician I,Production       ,SVG,Female,Fully Meets
576,Alexis Nielsen,Production Technician II,Production       ,EW,Female,Fully Meets
577,Hadley Benson,Production Technician II,Production       ,NEL,Female,Fully Meets
578,Lyric Solomon,Production Technician II,Production       ,SVG,Female,Fully Meets
579,Jerome Howard,Production Technician II,Production       ,TNS,Female,Fully Meets
580,Parker Fritz,Production Technician II,Production       ,WBL,Female,PIP
581,Nola Sellers,Production Technician I,Production       ,MSC,Female,Exceeds
582,Emerson Wood,Production Technician I,Production       ,MSC,Female,Exceeds
583,Stanley Bowen,Production Technician II,Production       ,BPC,Female,Needs Improvement
584,Terrell Hanna,Production Technician II,Production       ,CCDR,Female,Exceeds
585,Simeon Pittman,Production Technician II,Production       ,MSC,Female,Needs Improvement
586,Jenna Cochran,Production Technician II,Production       ,TNS,Female,Exceeds
587,Scarlett Brooks,Production Technician I,Production       ,BPC,Female,Needs Improvement
588,Makhi Kramer,Production Technician I,Production       ,CCDR,Female,PIP
589,Carlos Murphy,Production Technician II,Production       ,CCDR,Female,Exceeds
590,Kaleb Elliott,Production Technician II,Production       ,MSC,Female,Exceeds
591,Casey Dixon,Production Technician II,Production       ,PL,Female,Exceeds
592,Leo Hickman,Production Technician II,Production       ,WBL,Female,Exceeds
593,Joel Koch,Production Technician I,Production       ,PL,Female,Exceeds
594,Ishaan Sheppard,Production Technician I,Production       ,SVG,Female,Exceeds
595,Arthur Wilson,Production Technician I,Production       ,EW,Female,Exceeds
596,Ansley Arias,Production Technician I,Production       ,NEL,Female,Exceeds
597,Melany Stafford,Production Technician I,Production       ,PL,Female,Exceeds
598,Rodolfo Franklin,Production Technician I,Production       ,TNS,Female,Exceeds
599,London Contreras,Production Technician II,Production       ,NEL,Female,Exceeds
600,Kyler Burton,Production Technician II,Production       ,PL,Female,Exceeds
601,Yasmine Hughes,Production Technician II,Production       ,BPC,Female,Exceeds
602,Rashad Mayo,Production Technician II,Production       ,EW,Female,Exceeds
603,Larissa Warner,Production Technician II,Production       ,MSC,Female,Exceeds
604,Tyree Weaver,Production Technician I,Production       ,TNS,Female,Exceeds
605,Landen Figueroa,Production Technician I,Production       ,PYZ,Male,PIP
606,Raphael Solomon,Production Technician I,Production       ,NEL,Female,PIP
607,Zariah Castaneda,Production Technician I,Production       ,PL,Female,PIP
608,Bria Bush,Production Technician I,Production       ,SVG,Female,Exceeds
609,Salvatore Snyder,Production Technician II,Production       ,WBL,Female,Exceeds
610,Amaris Kirk,Production Technician II,Production       ,PL,Female,Exceeds
611,Kimberly Horn,Production Technician II,Production       ,SVG,Female,Needs Improvement
612,Ellie Ortega,Production Technician I,Production       ,CCDR,Male,Needs Improvement
613,Adrien Maddox,Production Technician I,Production       ,SVG,Female,Needs Improvement
614,Lilly Haynes,Production Technician I,Production       ,MSC,Female,Exceeds
615,Bianca Cardenas,Production Technician I,Production       ,TNS,Female,Exceeds
616,Gia Franco,Production Technician I,Production       ,BPC,Female,Needs Improvement
617,Sam Knight,Production Technician I,Production       ,SVG,Female,Needs Improvement
618,Lisa Galia,IT Support,IT/IS,WBL,Female,Needs Improvement
619,Branden Khan,IT Support,IT/IS,EW,Female,Exceeds
620,Aiden Wade,IT Support,IT/IS,CCDR,Female,Exceeds
621,Milo Jensen,IT Manager - DB,IT/IS,EW,Male,Exceeds
622,Zechariah Strong,IT Support,IT/IS,SVG,Female,Exceeds
623,Raymond Maldonado,IT Support,IT/IS,EW,Female,Needs Improvement
624,Kane Mcfarland,IT Manager - Support,IT/IS,PYZ,Female,Fully Meets
625,Jovan Giles,IT Manager - DB,IT/IS,NEL,Male,Fully Meets
626,Sheldon Castillo,IT Support,IT/IS,MSC,Female,Fully Meets
627,Ariel Barnes,IT Support,IT/IS,EW,Female,Fully Meets
628,Kyson Grimes,IT Support,IT/IS,CCDR,Female,Fully Meets
629,Steven Jarvis,IT Support,IT/IS,PYZ,Female,Fully Meets
630,Kaylyn Pham,IT Support,IT/IS,WBL,Female,Fully Meets
631,Ingrid Lucero,IT Manager - Support,IT/IS,WBL,Male,Fully Meets
632,Armani Rogers,IT Support,IT/IS,TNS,Male,Fully Meets
633,Jacoby Lyons,IT Manager - Support,IT/IS,PYZ,Male,Fully Meets
634,Darryl Richmond,IT Support,IT/IS,TNS,Female,Fully Meets
635,Michael Albert,Production Manager,Production       ,EW,Male,Fully Meets
636,Walter Immediato,Production Manager,Production       ,EW,Male,Fully Meets
637,Elijiah Gray,Production Manager,Production       ,PL,Male,Fully Meets
638,Charles Bozzi,Production Manager,Production       ,PL,Male,Fully Meets
639,David Stanley,Production Manager,Production       ,CCDR,Male,Fully Meets
640,Deandre Richard,Production Manager,Production       ,WBL,Female,Fully Meets
641,Terry Gay,Production Manager,Production       ,WBL,Female,Fully Meets
642,Wesley Nguyen,Production Manager,Production       ,SVG,Female,Fully Meets
643,Rosemary Thornton,Network Engineer,Production       ,EW,Female,Fully Meets
644,Ayanna Lutz,Network Engineer,Production       ,CCDR,Male,Fully Meets
645,Asia Rivers,Data Analyst,Production       ,EW,Male,Fully Meets
646,Araceli Castillo,Data Analyst,Production       ,PYZ,Female,Fully Meets
647,Ayanna Bowman,Data Analyst,IT/IS,NEL,Male,Fully Meets
648,Marcelo Flowers,Production Manager,Production       ,CCDR,Female,Fully Meets
649,Antwan Gay,Production Manager,Production       ,SVG,Male,Fully Meets
650,Kristen Peters,Production Manager,Production       ,PYZ,Female,Fully Meets
651,Hadassah Gallegos,Production Manager,Production       ,WBL,Female,Fully Meets
652,Aubree Anderson,Network Engineer,Executive Office,TNS,Male,Fully Meets
653,Jaime Austin,Data Analyst ,Production       ,WBL,Male,Fully Meets
654,Walter Dominguez,Production Manager,Production       ,CCDR,Female,Fully Meets
655,Jesus Hendricks,Production Manager,Production       ,PYZ,Female,Fully Meets
656,Taryn Black,Production Manager,Production       ,CCDR,Female,Fully Meets
657,Payten Harvey,Network Engineer,Production       ,EW,Male,Fully Meets
658,Reagan Atkinson,Network Engineer,Production       ,MSC,Male,Fully Meets
659,Dalia Booth,Data Analyst ,IT/IS,TNS,Female,Fully Meets
660,Charlee Navarro,Data Analyst,IT/IS,PYZ,Female,Fully Meets
661,Braden Wiggins,Production Manager,Production       ,WBL,Female,Fully Meets
662,Maximilian Moyer,Network Engineer,Production       ,SVG,Male,Fully Meets
663,Salvador Robinson,Network Engineer,Production       ,TNS,Male,Fully Meets
664,Marilyn Wiley,Data Analyst ,IT/IS,BPC,Female,Fully Meets
665,Selena Adkins,Data Analyst,IT/IS,TNS,Male,Fully Meets
666,Leticia Parks,Production Manager,Production       ,EW,Female,Fully Meets
667,Danny Thomas,Production Manager,Production       ,NEL,Male,Fully Meets
668,Gisselle Villanueva,Data Analyst ,IT/IS,TNS,Female,Fully Meets
669,Demetrius Mendez,Data Analyst,IT/IS,BPC,Male,Fully Meets
670,Harold David,Production Manager,Production       ,PL,Male,Fully Meets
671,Marcos Sloan,Production Manager,Production       ,TNS,Female,Fully Meets
672,Hayley Chung,Production Manager,Production       ,PL,Female,Fully Meets
673,Kaitlin Cooke,Data Analyst ,IT/IS,TNS,Female,Fully Meets
674,Raelynn Lara,Production Manager,Production       ,TNS,Female,Fully Meets
675,Leland Chang,Production Manager,Production       ,WBL,Male,Fully Meets
676,Hayley Webb,Production Manager,Production       ,BPC,Male,Fully Meets
677,Carleigh Garrison,Production Manager,Production       ,MSC,Female,Fully Meets
678,Yael Garcia,President & CEO,Production       ,PYZ,Male,Fully Meets
679,Jonathon Montes,Network Engineer,Executive Office,SVG,Male,Fully Meets
680,Alexzander Guzman,Director of Operations,Production       ,MSC,Male,Fully Meets
681,Emilee Thompson,Data Analyst,IT/IS,CCDR,Female,Fully Meets
682,Elvis Kaufman,Production Manager,Production       ,SVG,Female,Fully Meets
683,Rayna Gates,Production Manager,Production       ,EW,Female,Fully Meets
684,Liam Blevins,Production Manager,Production       ,TNS,Male,Fully Meets
685,Alison Evans,Production Manager,Production       ,NEL,Female,Fully Meets
686,Humberto Rocha,Production Manager,Production       ,PL,Female,Fully Meets
687,Larissa Garza,Director of Operations,Production       ,SVG,Female,Fully Meets
688,Camron Jenkins,Data Analyst,Production       ,EW,Female,Fully Meets
689,Devan Hall,Production Manager,Production       ,NEL,Male,Fully Meets
690,Jensen Mccullough,Production Manager,Production       ,PL,Female,Fully Meets
691,Mila Poole,Production Manager,Production       ,CCDR,Male,Fully Meets
692,Jakob Luna,Production Manager,Production       ,MSC,Female,Fully Meets
693,Odin Sampson,Production Manager,Production       ,NEL,Male,Fully Meets
694,Konner Pierce,Data Analyst,IT/IS,EW,Female,Fully Meets
695,Tucker Haas,Shared Services Manager,Admin Offices,EW,Male,Fully Meets
696,Lainey York,Production Manager,Production       ,NEL,Female,Fully Meets
697,Callum Miles,Production Manager,Production       ,CCDR,Female,Fully Meets
698,Natasha Valdez,Production Manager,Production       ,SVG,Female,Fully Meets
699,Talia Barrett,Production Manager,Production       ,EW,Female,Fully Meets
700,Anastasia Hardy,Production Manager,Production       ,MSC,Male,Fully Meets
701,Case Conley,President & CEO,Executive Office,PYZ,Male,Fully Meets
702,Trevin Shannon,Director of Sales,Sales,PL,Female,Fully Meets
703,Eric Dougall,IT Manager - Support,IT/IS,PYZ,Male,Fully Meets
704,Braedon Welch,IT Director,IT/IS,PL,Male,Fully Meets
705,Giovanna Romero,Software Engineer,Software Engineering,BPC,Male,Fully Meets
706,Connor Carrillo,Software Engineer,Software Engineering,SVG,Male,Fully Meets
707,Ali Benjamin,Software Engineer,Software Engineering,PL,Male,Fully Meets
708,Trey Johnston,Director of Operations,IT/IS,SVG,Male,Fully Meets
709,Madeleine Paul,Software Engineer,Software Engineering,EW,Female,Fully Meets
710,Trinity Estes,IT Manager - DB,IT/IS,PYZ,Male,Fully Meets
711,Amina Bush,IT Director,IT/IS,PL,Male,Fully Meets
712,Mayra Lynn,Director of Sales,IT/IS,NEL,Male,Fully Meets
713,Alina Benson,BI Developer,IT/IS,CCDR,Male,Fully Meets
714,Rebekah Delacruz,BI Developer,IT/IS,SVG,Male,Fully Meets
715,Larry Novak,Director of Operations,Sales,SVG,Male,Fully Meets
716,Luciana Gill,Software Engineer,Software Engineering,BPC,Male,Fully Meets
717,Darien Sawyer,BI Developer,IT/IS,PL,Female,Fully Meets
718,Ernest Finley,Software Engineer,Software Engineering,NEL,Male,Fully Meets
719,Odin Key,IT Manager - DB,IT/IS,PYZ,Male,Fully Meets
720,Shania Caldwell,IT Manager - DB,IT/IS,PL,Male,Fully Meets
721,Kaiden Cunningham,Director of Sales,Sales,CCDR,Male,Fully Meets
722,Maeve Gordon,Software Engineering Manager,Software Engineering,WBL,Female,Fully Meets
723,Monserrat Ferguson,Software Engineer,Software Engineering,NEL,Male,Fully Meets
724,Angelique Cochran,IT Manager - DB,IT/IS,PL,Male,Fully Meets
725,Deandre Oneal,Director of Sales,Sales,CCDR,Male,Fully Meets
726,Elisabeth Bradley,Software Engineering Manager,Software Engineering,CCDR,Male,Fully Meets
727,Eden Choi,IT Manager - DB,IT/IS,EW,Male,Fully Meets
728,Ayden Wu,IT Director,IT/IS,NEL,Male,Fully Meets
729,Hayley Keller,BI Director,IT/IS,SVG,Female,Fully Meets
730,Giovanni Leruth,Area Sales Manager,Sales,EW,Male,Fully Meets
731,Michelle Carter,Area Sales Manager,Sales,MSC,Female,Fully Meets
732,Jackie Valentin,Area Sales Manager,Sales,MSC,Female,Fully Meets
733,Howard Mullaney,Area Sales Manager,Sales,MSC,Male,Fully Meets
734,Callum Ford,Area Sales Manager,Sales,PL,Male,Fully Meets
735,Stephanie Wilkinson,Area Sales Manager,Sales,CCDR,Male,Fully Meets
736,Cruz Arellano,Area Sales Manager,Sales,SVG,Male,Fully Meets
737,Karly Ho,Area Sales Manager,Sales,PYZ,Male,Fully Meets
738,Thaddeus Lutz,Area Sales Manager,Sales,WBL,Male,Fully Meets
739,Layla Kane,Area Sales Manager,Sales,NEL,Male,Fully Meets
740,Jacquelyn Austin,Accountant I,Admin Offices,EW,Female,Fully Meets
741,Kaitlynn Aguirre,Area Sales Manager,Sales,NEL,Male,Fully Meets
742,Saniyah Cantu,Area Sales Manager,Sales,PL,Male,Fully Meets
743,Lewis Hobbs,Area Sales Manager,Sales,EW,Male,Fully Meets
744,Ronald Marquez,Area Sales Manager,Sales,TNS,Male,Fully Meets
745,Raquel Sosa,Area Sales Manager,Sales,NEL,Male,Fully Meets
746,Andy Stewart,Area Sales Manager,Sales,PL,Male,Fully Meets
747,Yadira Barron,Administrative Assistant,Sales,SVG,Female,Fully Meets
748,Anika Bender,Accountant I,Admin Offices,EW,Female,Fully Meets
749,Kaylin Dillon,Area Sales Manager,Sales,NEL,Male,Fully Meets
750,Mary Moore,Area Sales Manager,Sales,BPC,Male,Fully Meets
751,Harper Clark,Area Sales Manager,Sales,CCDR,Male,Fully Meets
752,Jaron Rojas,Area Sales Manager,Sales,EW,Male,Fully Meets
753,Kiley Wagner,Area Sales Manager,Sales,EW,Male,Fully Meets
754,Darien Young,Area Sales Manager,Sales,MSC,Female,Fully Meets
